Entity,Code,Day,Moderna,Oxford/AstraZeneca,Pfizer/BioNTech,Sinovac,Johnson&Johnson
France,FRA,2021-01-05,0,0,7411,0,0
France,FRA,2021-01-06,0,0,18661,0,0
France,FRA,2021-01-07,0,0,47113,0,0
France,FRA,2021-01-08,0,0,82996,0,0
France,FRA,2021-01-09,0,0,93861,0,0
France,FRA,2021-01-10,0,0,99460,0,0
France,FRA,2021-01-11,0,0,138173,0,0
France,FRA,2021-01-12,0,0,198489,0,0
France,FRA,2021-01-13,0,0,261861,0,0
France,FRA,2021-01-14,140,0,341177,0,0
France,FRA,2021-01-15,358,0,407893,0,0
France,FRA,2021-01-16,543,0,428133,0,0
France,FRA,2021-01-17,546,0,438616,0,0
France,FRA,2021-01-18,3446,0,519994,0,0
France,FRA,2021-01-19,7926,0,643526,0,0
France,FRA,2021-01-20,12829,0,773320,0,0
France,FRA,2021-01-21,17889,0,922961,0,0
France,FRA,2021-01-22,22743,0,1036213,0,0
France,FRA,2021-01-23,24469,0,1072283,0,0
France,FRA,2021-01-24,24550,0,1081621,0,0
France,FRA,2021-01-25,28178,0,1156057,0,0
France,FRA,2021-01-26,31865,0,1254591,0,0
France,FRA,2021-01-27,35266,0,1363311,0,0
France,FRA,2021-01-28,38745,0,1499135,0,0
France,FRA,2021-01-29,41816,0,1606284,0,0
France,FRA,2021-01-30,42870,0,1638484,0,0
France,FRA,2021-01-31,42870,0,1645246,0,0
France,FRA,2021-02-01,46115,0,1717469,0,0
France,FRA,2021-02-02,50415,0,1824081,0,0
France,FRA,2021-02-03,55444,0,1931708,0,0
France,FRA,2021-02-04,60140,0,2065655,0,0
France,FRA,2021-02-05,64695,0,2177302,0,0
France,FRA,2021-02-06,66626,260,2207702,0,0
France,FRA,2021-02-07,66667,1603,2217576,0,0
France,FRA,2021-02-08,74091,4197,2303275,0,0
France,FRA,2021-02-09,82355,10748,2435181,0,0
France,FRA,2021-02-10,91536,19743,2573015,0,0
France,FRA,2021-02-11,101700,32836,2744765,0,0
France,FRA,2021-02-12,111711,45604,2874775,0,0
France,FRA,2021-02-13,114924,49045,2908311,0,0
France,FRA,2021-02-14,115221,49885,2918460,0,0
France,FRA,2021-02-15,121693,59801,3013804,0,0
France,FRA,2021-02-16,130804,71775,3137963,0,0
France,FRA,2021-02-17,139482,82434,3275398,0,0
France,FRA,2021-02-18,149839,96618,3443333,0,0
France,FRA,2021-02-19,159415,110542,3573933,0,0
France,FRA,2021-02-20,162676,113634,3613068,0,0
France,FRA,2021-02-21,162959,114165,3620470,0,0
France,FRA,2021-02-22,170239,122860,3711348,0,0
France,FRA,2021-02-23,178722,133721,3827630,0,0
France,FRA,2021-02-24,186975,147311,3945811,0,0
France,FRA,2021-02-25,195636,190954,4079565,0,0
France,FRA,2021-02-26,202922,251536,4191322,0,0
France,FRA,2021-02-27,205481,285598,4227470,0,0
France,FRA,2021-02-28,205583,287902,4234265,0,0
France,FRA,2021-03-01,214251,307273,4321501,0,0
France,FRA,2021-03-02,225179,344974,4437635,0,0
France,FRA,2021-03-03,236333,391825,4556166,0,0
France,FRA,2021-03-04,248523,471001,4695654,0,0
France,FRA,2021-03-05,260187,586022,4825585,0,0
France,FRA,2021-03-06,266465,702220,4921796,0,0
France,FRA,2021-03-07,268767,755879,4987045,0,0
France,FRA,2021-03-08,281078,797166,5084012,0,0
France,FRA,2021-03-09,296882,873919,5213430,0,0
France,FRA,2021-03-10,312886,952458,5348418,0,0
France,FRA,2021-03-11,331225,1077807,5504610,0,0
France,FRA,2021-03-12,347168,1256739,5649895,0,0
France,FRA,2021-03-13,359577,1385775,5749416,0,0
France,FRA,2021-03-14,364671,1399343,5795116,0,0
France,FRA,2021-03-15,378696,1449939,5914498,0,0
France,FRA,2021-03-16,399813,1450776,6068332,0,0
France,FRA,2021-03-17,423541,1451330,6227129,0,0
France,FRA,2021-03-18,451489,1452409,6405062,0,0
France,FRA,2021-03-19,478857,1521160,6569113,0,0
France,FRA,2021-03-20,505574,1585113,6653147,0,0
France,FRA,2021-03-21,523177,1590553,6680231,0,0
France,FRA,2021-03-22,543809,1626911,6821367,0,0
France,FRA,2021-03-23,570367,1709906,6998122,0,0
France,FRA,2021-03-24,598900,1799159,7174530,0,0
France,FRA,2021-03-25,630320,1946652,7375500,0,0
